shapeGroup,area,surfaceArea
114,1488.724023858646,1615.7781440671577
115,1.1775542779035977,1.1843403303400342
116,107.68773341989022,123.36830210438754
118,367.2519296211545,367.8277430421971
119,59.59444194350875,72.16988238352371
121,2795.4270706198413,3319.4571842770165
122,7.727917807604604,7.731673332212955
124,52.47681658160785,53.381935907764124
125,1.9807511609724555,1.982954769459162
126,86.22331360156763,88.33100629042997
127,4.239923414745315,4.712422116910477
128,0.44002065189304596,0.44002065189304596
129,5806.967365722757,5970.380191657917
ESH,269140.32490101206,269386.62927902304
KIR,924.5986739019329,925.0463586845608
JAM,10990.900156388081,11579.412501325789
JPN,376485.8174315792,405076.5361111302
MHL,127.92996365085271,128.02424663096104
MEX,1956389.5357889768,2031111.1649856681
FSM,659.4683966088259,686.1324296899305
NIC,128437.7630274482,131183.42025169326
PAN,75057.00626370216,78512.84348406036
PNG,460769.4709511277,487113.41615374596
PRY,399438.7172163195,399938.73191834637
PER,1292369.250713847,1366019.1125960974
RUS,1.69209153142797E7,1.7194273475421768E7
WSM,2868.664261744228,2933.483550519736
TON,680.9932222115318,693.7301507873874
TTO,5161.18144273313,5291.337293388974
SLB,27998.732226864468,29885.876557232732
ZAF,1219874.3204952793,1234729.960012096
KNA,269.2647606104742,280.79852790269564
LCA,617.457567042237,653.8759309044741
VCT,386.21359257226896,416.64781970514645
SUR,145784.43455908878,148509.0041417042
GBR,251979.18799243885,255794.22960209122
USA,9483865.646980664,9674974.444809932
ATG,446.57490749334266,452.4269188226403
ARG,2779060.4612415424,2817566.3746966813
AUS,7685999.861025562,7717105.29164852
BHS,12454.443826181148,12460.72729174366
BRB,441.40682293907935,444.4158811730459
BLZ,22045.190550305855,22526.491227672355
BOL,1083796.5512805588,1116111.0431792
NOR,384504.8498719685,402722.81400778034
COL,1135809.3033690949,1175189.1400839784
BRA,8471711.483865004,8566534.00972165
FRA,667338.9300058775,684241.5722379547
NZL,269482.8061308904,290744.040503133
CAN,9964045.019170381,1.0143279018640433E7
CRI,51307.89655126636,53864.603809206455
CUB,109727.28434083104,111016.95958344734
CHL,747404.8961741122,795770.7266805379
DMA,761.6641757670197,839.5105201968365
DOM,48333.609564225495,50309.3015263761
ECU,255019.71926271403,269588.04128610465
SLV,20689.239873461695,21536.266893421427
FJI,18601.085295430632,19498.99820531119
GRD,359.591693444277,378.2952179867147
NRU,22.671764643256658,22.77077543691217
GTM,108232.90691129913,113954.76551084839
GUY,210740.31327156705,214102.4223964706
HTI,27116.787024472844,28680.20974201608
HND,112049.07139068424,118718.58233485463
IDN,1883265.4461243304,1957929.9874466325
TUV,29.036505533666528,29.05046213007751
URY,177762.17232791166,178189.73980043002
VUT,12207.82837666404,12893.406632931381
VEN,911914.5291028497,933112.9760949053
117,11908.806985298983,11997.759176378922
120,5.3524605724467795,5.363380288562787
123,0.15876847294562818,0.16125834894768162
